1:C 15 Mar 2023 04:00:46.488 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
1:C 15 Mar 2023 04:00:46.495 # Redis version=5.0.7, bits=64, commit=00000000, modified=0, pid=1, just started
1:C 15 Mar 2023 04:00:46.499 # Configuration loaded
1:M 15 Mar 2023 04:00:46.506 * Running mode=standalone, port=6380.
1:M 15 Mar 2023 04:02:33.849 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:38.976 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:44.074 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:49.190 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:54.303 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:59.423 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:04.520 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:09.606 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:14.713 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:19.815 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:24.935 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:30.012 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:35.123 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:40.256 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:45.385 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:50.486 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:03:55.628 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:00.725 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:05.819 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:10.914 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:16.026 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:21.129 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:26.235 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:31.361 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:36.469 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:41.591 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:46.677 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:51.795 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:04:56.901 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:02.004 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:07.103 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:12.222 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:17.345 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:22.486 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:27.585 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:32.692 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:37.805 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:42.925 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:48.044 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:53.118 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:05:58.216 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:03.328 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:08.471 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:13.641 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:18.801 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:23.944 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:29.126 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:34.292 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:39.501 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:44.632 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:49.785 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:06:54.946 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:00.134 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:05.297 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:10.425 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:15.608 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:20.760 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:25.927 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:31.093 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:36.221 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:41.411 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:46.575 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:51.743 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:07:56.909 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:02.080 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:07.211 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:12.374 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:17.541 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:22.714 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:27.821 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:32.966 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:38.112 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:43.255 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:48.438 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:53.561 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:08:58.726 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:03.836 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:09.016 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:14.187 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:19.292 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:24.386 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:29.597 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:34.729 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:39.897 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:45.073 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:50.276 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:09:55.452 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:00.605 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:05.800 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:10.950 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:16.058 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:21.206 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:26.367 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:31.538 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:36.689 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:41.850 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:47.032 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:52.160 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:10:57.345 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:02.502 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:07.661 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:12.802 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:17.987 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:23.295 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:11:28.624 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:42:53.793 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:42:59.069 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:43:04.267 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:43:09.368 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:43:14.473 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:43:19.571 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:32:55.689 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:00.770 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:05.861 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:10.988 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:16.076 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:21.183 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:26.294 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:31.402 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:36.530 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:41.612 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:46.755 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:51.848 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:33:56.926 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:02.094 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:07.186 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:12.274 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:17.416 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:22.532 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:27.650 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:32.744 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:37.845 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:42.966 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:48.057 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:53.179 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:34:58.276 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:03.384 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:08.498 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:13.584 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:18.715 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:23.832 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:28.946 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:34.069 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:39.143 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:44.269 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:49.364 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:54.468 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:35:59.586 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:04.694 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:09.821 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:14.919 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:20.039 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:25.129 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:30.241 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:35.365 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:40.455 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:45.604 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:50.695 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:36:55.802 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:00.923 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:06.029 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:11.149 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:16.223 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:21.316 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:26.440 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:31.531 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:36.655 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:41.786 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:46.870 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:51.969 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:37:57.070 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:02.168 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:07.281 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:12.404 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:17.527 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:22.642 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:27.738 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:32.844 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:37.954 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:43.067 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:48.193 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:53.311 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:38:58.419 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:03.520 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:08.638 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:13.757 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:18.851 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:23.957 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:29.051 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:34.187 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:39.304 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:44.408 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:49.515 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:54.631 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:39:59.749 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:04.838 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:09.956 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:15.081 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:20.188 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:25.304 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:30.433 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:35.518 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:40.639 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:45.758 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:50.864 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:40:56.002 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:01.085 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:06.218 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:11.336 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:16.467 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:21.558 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:26.661 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:31.771 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:36.842 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:41.980 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:47.072 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:52.178 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:41:57.292 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:02.382 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:07.485 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:12.602 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:17.666 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:22.751 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:27.886 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:33.007 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:38.135 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:43.264 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:48.371 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:53.475 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:42:58.594 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:03.730 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:08.846 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:13.950 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:19.061 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:24.206 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:29.296 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:34.416 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:39.524 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:44.651 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:49.759 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:54.861 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:43:59.987 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:05.100 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:10.210 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:15.334 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:20.441 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:25.570 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:30.669 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:35.778 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:40.903 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:46.009 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:51.113 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:44:56.223 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:01.317 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:06.435 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:11.546 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:16.627 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:21.755 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:26.853 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:31.997 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:37.123 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:42.257 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:47.335 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:52.454 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:45:57.560 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:46:02.668 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:46:07.787 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:46:12.890 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:46:17.995 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 05:46:23.080 - 0 clients connected (0 replicas), 824128 bytes in use
